"BrowserID","BrowserName","BrowserVersion"
"1","IE","5.5"
"2","IE","6.0"
"5","NN","7.0"
"8","AOL (IE6.0)","6.0"
"9","FF","3"
"10","SAFARI","3"
"11","IE","7.0"
"12","IE","8.0"
"13","CHROME","0"
"14","FF","1"
"15","FF","2"
"16","SAFARI","1"
"17","SAFARI","2"
"18","SAFARI","4"
"19","SAFARI","5"
"20","IE","9.0"
"21","FF","4"
"22","OPERA","10"
"24","OPERA","11"
"25","IE","10"
"26","SAFARI","6"
"27","SAFARI ON WIN","5+"
"28","Macintosh With AOL (Safari)","0"
"29","Internet Explorer on Windows 7 8 ","11"
"30","Internet Explorer on Windows 8/8.1","10+"
