"ID","OSName","OSVersion"
"0","NOTSUPPORTED"," "
"1","WINDOWS","95"
"2","WINDOWS","98"
"3","WINDOWS","2000"
"4","WINDOWS","XP"
"5","WINDOWS","ME"
"6","WINDOWS","NT"
"7","MAC"," "
"8","WINDOWS","VISTA"
"9","WINDOWS","7"
"10","iphone"," "
"11","ipad"," "
"12","ipod"," "
"13","android tablet","2"
"14","android tablet","3"
"17","android mobile","2"
"18","android mobile","3"
"19","windows phone os"," "
"20","android tablet","4"
"21","android mobile","4"
"22","Windows","8"
"23","MAC","Mountain lion"
